[['.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '*', '*', '.', '*', '.', '*', '*', '.', '.'],
 ['.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*'],
 ['.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '*', '*', '*', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '*', '*', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*'],
 ['*', '*', '.', '*', '.', '*', '*', '.', '*', '*', '*', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '*', '.', '*'],
 ['.', '.', '.', '1', '.', '.', '.', '*', '.', '*', '*', '.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '*', '.', '*', '*', '*', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '*', '.', '*', '*', '.', '.'],
 ['*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '*', '*', '.', '*', '.', '.', '.'],
 ['*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '*', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '*', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.'],
 ['.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '*', '.', '*', '*', '*', '*', '*', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '*', '.', '*', '*', '.'],
 ['*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '.', '.'],
 ['*', '.', '*', '*', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '.', '*', '.', '*', '*', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '*', '*', '.', '*', '.', '.', '*', '.', '.', '*', '*', '.', '.', '*'],
 ['.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*'],
